HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
505.3444	2.367889	13.49943	0.1141029	2.270676
505.3698	2.40173	16.65297	0.1162321	2.30132
505.3952	2.297248	21.83486	0.08498044	2.30727
505.4206	2.108547	24.66375	0.04341419	2.232835
505.4460	1.967479	28.091	0.0123547	2.148206
505.4714	1.8626	33.03962	-0.01041261	2.05599
505.4968	1.81345	36.05594	-0.01792903	1.934154
505.5222	1.770413	35.8225	-0.02289637	1.855153
505.5476	1.762475	34.9859	-0.01726232	1.778347
505.5730	1.777468	35.45488	-0.008722845	1.724964
505.5984	1.824592	39.95372	0.03192266	1.739527
505.6238	1.850881	40	0.05181538	1.764398
505.6492	1.883228	40	0.07155678	1.790921
505.6746	1.916421	40	0.08804375	1.859753
505.7000	1.944455	40	0.105891	1.911806
505.7254	1.946338	40	0.1089721	1.920444
505.7508	1.930202	40	0.09929789	1.92248
505.7762	1.913744	40	0.08945689	1.918272
505.8016	1.908371	39.02636	0.08551132	1.910364
505.8270	1.897685	39.99328	0.08091264	1.904021
505.8524	1.886992	40	0.0762855	1.90166
505.8778	1.889658	37.63797	0.07467891	1.901271
505.9032	1.901478	31.83629	0.07541426	1.900055
505.9286	1.913679	27.28751	0.07624824	1.898704
505.9540	1.910995	30.22649	0.07840788	1.899633
505.9794	1.900011	36.13443	0.07282712	1.901564
506.0048	1.888201	39.98335	0.06647653	1.903663
506.0302	1.893493	40	0.06365328	1.903504
506.0556	1.903219	38.38852	0.0634416	1.902506
506.0810	1.916071	33.44661	0.06604003	1.901867
506.1064	1.912574	32.60088	0.06765465	1.903481
506.1318	1.904011	37.87125	0.06862127	1.905793
506.1572	1.895478	39.99554	0.06974133	1.908179
506.1826	1.899448	40	0.07301466	1.909481
506.2080	1.909653	33.48112	0.07409252	1.909822
506.2334	1.919591	25.52605	0.07473934	1.910911
506.2588	1.925186	26.11572	0.07381163	1.913399
506.2842	1.915288	28.37357	0.06812142	1.916599
506.3096	1.911837	31.02968	0.06924602	1.919531
506.3350	1.912964	31.08525	0.07288451	1.918376
506.3604	1.921971	31.76052	0.07835666	1.914842
506.3858	1.929938	32.52265	0.08295227	1.911063
506.4112	1.911663	30.00204	0.07982477	1.907475
506.4366	1.900244	34.18895	0.07465576	1.904279
506.4620	1.889106	39.64206	0.06925844	1.900757
506.4874	1.88679	36.47514	0.06765934	1.896862
506.5128	1.890307	26.26568	0.06733587	1.896354
506.5382	1.896878	19.86257	0.06978533	1.898018
506.5636	1.90248	18.96293	0.0725841	1.904768
506.5890	1.908364	22.441	0.07336716	1.912445
506.6144	1.912043	27.65758	0.07177556	1.919909
506.6398	1.93601	31.89132	0.0766259	1.9253
506.6652	1.940929	36.06293	0.07307167	1.928028
506.6906	1.942492	39.67849	0.0676589	1.928184
506.7160	1.935001	34.03582	0.0605108	1.92505
506.7414	1.921886	24.85682	0.05480299	1.917985
506.7668	1.909466	18.58316	0.05069468	1.909796
506.7922	1.890231	17.91759	0.04763378	1.904633
506.8176	1.885916	19.30218	0.04512365	1.902433
506.8430	1.883563	21.11467	0.04276592	1.904186
506.8684	1.906137	18.13397	0.04405162	1.909164
506.8938	1.919171	16.65418	0.04014502	1.915937
506.9192	1.93412	15.51731	0.03880419	1.923012
506.9446	1.944219	16.48951	0.04058331	1.931069
506.9700	1.938821	12.92169	0.03544246	1.944549
506.9954	1.935598	10.02275	0.03366794	1.959167
507.0208	1.939938	8.799901	0.03036295	1.953153
507.0462	1.941286	8.949973	0.02395964	1.946843
507.0716	1.941727	9.305695	0.01680008	1.94085
507.0970	1.935965	8.521978	0.01278836	1.945967
507.1224	1.933505	7.452956	0.007445627	1.956067
507.1478	1.932832	6.525949	0.003521827	1.958401
507.1732	1.927183	6.279658	0.0003282958	1.947306
507.1986	1.919353	6.426501	-0.003132499	1.949227
507.2240	1.913196	6.632949	-0.004737135	1.950779
507.2494	1.918574	6.908637	-0.003144587	1.949661
507.2748	1.921519	6.485116	-0.003050234	1.943822
507.3002	1.923739	5.935349	-0.002882124	1.935445
507.3256	1.920196	5.799884	-0.003177282	1.921715
507.3510	1.922927	7.102609	-0.001598242	1.916395
