HOLE:	U1513E
EXPEDITION:	369
TOP:	461.2476
BOTTOM:	591.0416
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
472.7792	74.23411	30.33869	-0.1085349	2424.952	478.2476
472.8300	71.3998	30.57674	0.1446194	2488.851	460.0261
472.8808	72.30755	30.87558	0.08033118	2501.138	442.9138
472.9316	73.8056	31.02951	-0.307247	2487.726	434.5198
472.9824	75.44878	30.74584	-0.5216479	2470.418	442.6267
473.0332	78.07319	30.91581	-0.4955922	2438.67	459.052
473.0840	77.75276	31.90807	-0.3405585	2448.107	402.7751
473.1348	73.11713	32.02929	0.05612155	2563.714	373.5664
473.1856	70.466	31.34858	0.2951363	2695.383	432.872
473.2364	70.73012	30.54899	0.2768503	2723.007	492.3225
473.2872	73.7037	30.61338	0.01988515	2672.673	518.4717
473.3380	80.02746	31.29471	-0.4539389	2587.742	456.5923
473.3888	89.47317	31.81499	-0.4076185	2501.772	417.7245
473.4396	95.90078	31.68004	0.3945583	2433.548	414.6578
473.4904	94.26234	32.82024	0.159672	2460.153	360.839
473.5412	89.37453	35.18334	-0.7444144	2522.324	415.2376
473.5920	87.88484	35.53957	-0.8183885	2464.006	458.4529
473.6428	86.68641	36.95299	-0.8101439	2417.244	410.3069
473.6936	84.32768	38.24578	-0.7716485	2391.221	402.6861
473.7444	84.34898	37.72812	-0.7657846	2463.384	400.2439
473.7952	84.13088	36.29068	-0.7334946	2493.137	413.7193
473.8460	81.03339	35.87453	-0.6011446	2533.044	403.3058
473.8968	79.79526	34.46146	-0.5071173	2562.81	410.4258
473.9476	76.48514	34.95604	-0.2583885	2498.36	375.1452
473.9984	78.27414	34.68522	-0.3920989	2385.225	417.1437
474.0492	79.5358	33.28546	-0.5079637	2448.383	458.2249
474.1000	81.93699	33.18123	-0.7193079	2301.832	415.041
474.1508	81.9897	33.40125	-0.6793123	2484.515	419.3898
474.2016	82.66682	33.45765	-0.7246342	2519.891	433.0058
474.2524	78.70341	32.77651	-0.4186281	2522.995	423.0197
474.3032	76.91692	30.58161	-0.2725447	2574.99	469.6798
474.3540	76.76138	30.43087	-0.2563057	2622.1	390.1028
474.4048	74.95432	29.89519	-0.09142388	2684.728	439.8388
474.4556	79.47321	28.74946	-0.487489	2424.005	406.0708
474.5064	79.34327	28.79389	-0.4848739	2545.926	480.3606
474.5572	80.73525	28.15369	-0.6676739	2518.491	430.4192
474.6080	72.03621	28.37531	-0.09278346	2611.667	446.045
474.6588	75.42024	28.99913	-0.1409117	2500.75	409.8331
474.7096	71.69688	28.43772	0.1824863	2511.742	435.3108
474.7604	69.68397	29.83822	0.3471263	2414.209	436.4578
474.8112	68.50917	32.29654	0.4405032	2615.4	466.0019
474.8620	69.91706	33.24992	0.321631	2580.59	481.4906
474.9128	70.15372	32.86671	0.3078006	2403.564	377.1856
474.9636	76.65381	34.39364	-0.2396126	2529.275	446.0997
475.0144	68.63374	35.8172	0.4366282	2648.442	485.8711
475.0652	66.62605	35.72439	0.5826745	2507.899	456.3778
475.1160	68.21362	36.31104	0.4762224	2662.825	489.7063
475.1668	65.88519	35.0075	0.6268238	2426.952	431.3493
475.2176	62.35726	33.75755	0.8146049	2654.924	493.0405
475.2684	71.78975	33.32132	0.1889049	2644.416	450.1407
475.3192	70.07762	33.13954	0.3025709	2713.857	420.7794
475.3700	77.48291	33.53223	-0.3363021	2673.121	436.7005
475.4208	78.4635	33.4994	-0.706212	2701.103	455.9483
475.4716	79.22346	30.66596	-0.8182603	2596.59	455.031
475.5224	74.17171	30.44563	-0.752973	2866.913	515.9776
475.5732	74.70702	32.26851	-0.4043891	2480.627	508.0129
475.6240	77.65795	34.24792	-0.5401431	2696.6	427.2672
475.6748	78.90475	34.50923	-0.506497	2586.864	463.062
475.7256	81.98829	35.13255	-0.6674558	2709.6	483.3231
475.7764	83.3528	35.54028	-0.7330186	2719.715	470.6655
475.8272	84.3119	34.62621	-0.7829136	2652.098	486.9754
475.8780	81.13355	36.02658	-0.5994977	2677.885	439.4361
475.9288	83.34714	36.10196	-0.7396907	2617.116	450.7962
