HOLE:	U1513E
EXPEDITION:	369
TOP:	424.6313
BOTTOM:	580.7651
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
434.6135	1.868348	9.116059	0.01641357	1.878339
434.6389	1.859622	9.897038	0.01127238	1.87926
434.6643	1.851541	10.57182	0.007354992	1.875437
434.6897	1.843557	10.96172	0.005086765	1.874004
434.7151	1.835796	11.44971	0.003835413	1.866887
434.7405	1.828004	11.6693	0.002485154	1.861407
434.7659	1.826534	11.37157	0.002108142	1.850436
434.7913	1.833866	10.96789	0.003748588	1.83226
434.8167	1.836758	10.58708	0.004715277	1.823946
434.8421	1.833377	10.25055	0.004090145	1.81857
434.8675	1.830192	9.960772	0.003559078	1.809501
434.8929	1.828586	10.11039	0.003098138	1.810246
434.9183	1.831145	10.61518	0.003978894	1.81515
434.9437	1.835724	10.78444	0.005641845	1.825827
434.9691	1.840232	10.40351	0.007051487	1.841913
434.9945	1.83723	10.31755	0.007485018	1.845457
435.0199	1.827102	10.5934	0.006159413	1.842756
435.0453	1.820372	10.78368	0.004766593	1.842906
435.0707	1.817963	10.67509	0.004760957	1.83571
435.0961	1.814855	10.49663	0.005163343	1.82344
435.1215	1.811252	10.39799	0.005301184	1.812754
435.1469	1.804912	10.04632	0.004486864	1.80069
435.1723	1.804238	10.16064	0.005088826	1.798093
435.1977	1.807894	10.62088	0.007197107	1.802088
435.2231	1.810683	10.93183	0.008882627	1.806619
435.2485	1.815329	11.29472	0.01081639	1.814454
435.2739	1.821567	11.02889	0.0135067	1.822153
435.2993	1.828128	10.7311	0.01675494	1.826581
435.3247	1.831736	9.912263	0.0202202	1.829164
435.3501	1.834358	9.524485	0.0237677	1.830422
435.3755	1.841634	9.874535	0.02848531	1.830324
435.4009	1.830525	10.74907	0.02776285	1.831534
435.4263	1.823966	11.87402	0.02607844	1.833377
435.4517	1.821074	12.14382	0.02494141	1.835456
435.4771	1.837966	12.22357	0.02762338	1.835956
435.5025	1.844686	12.5442	0.02660917	1.837485
435.5279	1.849106	13.09317	0.02645524	1.839365
435.5533	1.845292	12.50178	0.02571496	1.841793
