HOLE:	U1513A
EXPEDITION:	369
TOP:	88.3041
BOTTOM:	258.0776
DEPTH_WMSF	LCAL
m	in
252.4388	3.555812
252.5912	3.560468
252.7436	3.560472
252.8960	3.560472
253.0484	3.560472
253.2008	3.560472
253.3532	3.565135
253.5056	3.560474
253.6580	3.565137
253.8104	3.555817
253.9628	3.560469
254.1152	3.574464
254.2676	3.555807
254.4200	3.565126
254.5724	3.560477
254.7248	3.569799
254.8772	3.565139
255.0296	3.56514
255.1820	3.57446
255.3344	3.566077
255.4868	3.565139
255.6392	3.569803
255.7916	3.560483
255.9440	3.560472
256.0964	3.5698
256.2488	3.565139
256.4012	3.573526
256.5536	3.565146
256.7060	3.551149
256.8584	3.560471
257.0108	3.569804
257.1632	3.569804
257.3156	3.569804
257.4680	3.569804
257.6204	3.560473
257.7728	3.569793
257.9252	3.555818
258.0776	3.565801

