HOLE:	U1513D
EXPEDITION:	369
TOP:	175.1527
BOTTOM:	300.5779
DEPTH_WMSF	LCAL
m	in
276.9559	13.18334
277.1083	15.17681
277.2607	17.07001
277.4131	17.05566
277.5655	17.05379
277.7179	17.06312
277.8703	17.05566
278.0227	17.05566
278.1751	17.06778
278.3275	16.92515
278.4799	14.39108
278.6323	14.75631
278.7847	13.57111
278.9371	13.16766
279.0895	14.84854
279.2419	16.74525
279.3943	17.07246
279.5467	17.06314
279.6991	17.06312
279.8515	17.06312
280.0039	17.01647
280.1563	13.71557
280.3087	14.16248
280.4611	13.60613
280.6135	13.98739
280.7659	14.02847
280.9183	13.79735
281.0707	14.56922
281.2231	15.25259
281.3755	17.06779
281.5279	17.05195
281.6803	17.06311
281.8327	17.07245
281.9851	17.05939
282.1375	17.05939
282.2899	17.06312
282.4423	17.06313
282.5947	17.06686
282.7471	14.83146
282.8995	14.29784
283.0519	17.06118
283.2043	16.7273
283.3567	17.07059
283.5091	17.05195
283.6615	17.05845
283.8139	17.05193
283.9663	17.06685
284.1187	17.04915
284.2711	17.06311
284.4235	17.05939
284.5759	17.06312
284.7283	15.31507
284.8807	15.31254
285.0331	15.77039
285.1855	17.06641
285.3379	17.06686
285.4903	17.07245
285.6427	17.0594
285.7951	17.06685
285.9475	17.05846
286.0999	17.06312
286.2523	17.05567
286.4047	17.04913
286.5571	16.77578
286.7095	14.75933
286.8619	14.07779
287.0143	13.51011
287.1667	14.1776
287.3191	15.82391
287.4715	16.12494
287.6239	16.07403
287.7763	14.70851
287.9287	13.24671
288.0811	13.24841
288.2335	13.24096
288.3859	13.44705
288.5383	14.00973
288.6907	13.60361
288.8431	14.3282
288.9955	16.42332
289.1479	17.05916
289.3003	17.06312
289.4527	17.05847
289.6051	17.05566
289.7575	16.92881
289.9099	15.43496
290.0623	14.63429
290.2147	15.74443
290.3671	16.95507
290.5195	17.06683
290.6719	17.06686
290.8243	17.0594
290.9767	17.07711
291.1291	17.05194
291.2815	17.06312
291.4339	17.05846
291.5863	17.06312
291.7387	17.05566
291.8911	17.05846
292.0435	17.06312
292.1959	17.0594
292.3483	16.73206
292.5007	14.40984
292.6531	14.58442
292.8055	16.24942
292.9579	15.86525
293.1103	17.05894
293.2627	17.05379
293.4151	17.06684
293.5675	17.07059
293.7199	17.06313
293.8723	17.06686
294.0247	17.0594
294.1771	17.05846
294.3295	16.48867
294.4819	14.44711
294.6343	14.40372
294.7867	14.49127
294.9391	16.22198
295.0915	17.0628
295.2439	17.05939
295.3963	17.06685
295.5487	17.06313
295.7011	17.07711
295.8535	17.06686
296.0059	17.06313
296.1583	17.06312
296.3107	16.37304
296.4631	13.32763
296.6155	15.49063
296.7679	14.03764
296.9203	16.27383
297.0727	17.05908
297.2251	17.06779
297.3775	17.05567
297.5299	17.06312
297.6823	17.0538
297.8347	17.06312
297.9871	15.50133
298.1395	13.68325
298.2919	13.4753
298.4443	13.68134
298.5967	14.4831
298.7491	15.93795
298.9015	15.95826
299.0539	15.95082
299.2063	15.95734
299.3587	15.95828
299.5111	15.93217
299.6635	15.83609
299.8159	15.76419
299.9683	15.67473
300.1207	14.5075
300.2731	12.55264
300.4255	13.97586
300.5779	12.26609

