HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	470.9652
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
446.4288	41.1552	0.0434	22.5838	559.7206	2626.1179
446.5812	41.3307	0.0202	23.1251	538.4554	2651.1655
446.7336	38.7187	0.1013	23.0871	529.5985	2660.9392
446.8860	37.2262	0.0944	23.0772	533.7229	2700.9031
447.0384	36.2194	0.1135	22.7718	554.3110	2699.8359
447.1908	37.8667	0.1096	22.7032	561.2776	2730.3403
447.3432	39.0027	0.1143	22.4661	579.6111	2680.1042
447.4956	38.7272	0.1413	22.3258	568.5516	2672.3462
447.6480	37.5890	0.1944	22.3005	566.6154	2760.4871
447.8004	37.9122	0.1988	22.3630	551.5474	2714.2100
447.9528	40.2999	0.1503	21.9554	561.8283	2699.9436
448.1052	39.8601	0.1263	22.0433	554.6390	2666.1392
448.2576	40.5191	0.1181	22.1516	569.1818	2689.2778
448.4100	38.8727	0.1713	22.5228	576.3224	2737.7292
448.5624	38.8730	0.1748	22.6080	570.9581	2745.8320
448.7148	35.9701	0.2916	23.2605	554.8559	2695.2651
448.8672	38.2826	0.3239	23.3101	586.4808	2648.0281
449.0196	39.6902	0.3704	23.6425	567.0992	2554.8818
449.1720	40.3516	0.4468	24.1867	505.2276	2657.8240
449.3244	34.8634	0.7903	23.3918	428.1429	2617.1428
449.4768	41.1460	0.7656	23.4160	520.5393	2645.1812
449.6292	64.9148	0.7729	24.7724	547.7142	2630.1904
449.7816	90.3421	-0.0631	27.4299	464.2260	2380.4307
449.9340	107.6785	1.8521	22.6542	397.0281	2359.4951
450.0864	101.1754	0.2016	31.1399	382.7949	2402.0278
450.2388	97.7660	-0.2535	35.5586	404.5417	2385.1558
450.3912	101.3242	0.2377	33.9699	397.5134	2318.9946
450.5436	95.8439	-0.4024	33.4316	390.5815	2369.6453
450.6960	97.0804	-0.3299	34.8300	415.4696	2375.1609
450.8484	96.5991	-0.3548	34.8641	401.4483	2353.9197
451.0008	96.6115	-0.3517	32.8364	390.1212	2367.1667
451.1532	96.9055	-0.3407	33.9347	396.4021	2297.4631
451.3056	95.6058	-0.4028	33.7890	386.0000	2346.6667
451.4580	96.2377	-0.3770	32.5207	400.5000	2348.5715
451.6104	89.3744	-0.3290	32.9984	391.0000	2400.8889
451.7628	69.0354	0.7420	33.3340	420.0000	2408.0000
451.9152	58.6547	0.7588	33.4423	411.5000	2415.0000
452.0676	60.5821	0.6834	33.0239	424.5000	2437.5000
452.2200	73.2543	0.1664	34.0422	411.5000	2348.5000
452.3724	80.2155	-0.1043	33.1834	476.5000	2395.5000
452.5248	78.1757	0.3517	33.4977	484.5000	2542.0000
452.6772	75.3684	0.2968	34.2873	409.0000	2466.0000
452.8296	72.5207	0.6343	34.8103	435.5000	2486.0000
452.9820	74.8764	0.5293	35.0531	467.5555	2414.5000
453.1344	81.6642	0.0676	35.2307	466.0000	2387.5000
453.2868	77.7623	-0.1590	35.1963	482.0000	2394.5000
453.4392	61.1931	0.3738	34.7419	475.5000	2487.1111
453.5916	52.3588	0.5113	34.0967	479.0000	2592.0000
453.7440	52.0191	0.5367	32.4644	513.0000	2555.0000
453.8964	56.7753	0.4393	33.4757	463.0000	2474.5000
454.0488	53.9686	0.4184	32.0198	505.0000	2508.5000
454.2012	52.5364	0.4838	30.5482	495.5000	2595.0000
454.3536	50.1056	0.3708	29.3440	490.5000	2508.0000
454.5060	51.4863	0.2845	29.8742	512.0000	2586.5000
454.6584	51.2645	0.3534	30.0683	520.5000	2507.5000
454.8108	54.8707	0.4138	30.4633	495.5000	2553.0000
454.9632	56.0043	0.5325	31.2061	481.0000	2598.5000
