HOLE:	U1352B
EXPEDITION:	317
TOP:	102.0048
BOTTOM:	465.4788
DEPTH_WMSF	LCAL
m	in
217.8288	18.8186
217.9812	18.8214
218.1336	18.8242
218.2860	18.8214
218.4384	18.8242
218.5908	18.8075
218.7432	18.8103
218.8956	18.8103
219.0480	18.8020
219.2004	18.7964
219.3528	18.7861
219.5052	18.8186
219.6576	18.8075
219.8100	18.7964
219.9624	18.7937
220.1148	18.8048
220.2672	18.7992
220.4196	18.7909
220.5720	18.8020
220.7244	18.8297
220.8768	18.8214
221.0292	18.8210
221.1816	18.8214
221.3340	18.8075
221.4864	18.8158
221.6388	18.8075
221.7912	18.7881
221.9436	18.7964
222.0960	18.7854
222.2484	18.7576
222.4008	18.7909
222.5532	18.8020
222.7056	18.7992
222.8580	18.8020
223.0104	18.7632
223.1628	18.8131
223.3152	18.8269
223.4676	18.8325
223.6200	18.8131
223.7724	18.8048
223.9248	18.8158
224.0772	18.8075
224.2296	18.8048
224.3820	18.8075
224.5344	18.7964
224.6868	18.8075
224.8392	18.8131
224.9916	18.8083
225.1440	18.7992
225.2964	18.8158
225.4488	18.8214
225.6012	18.8131
225.7536	18.7992
225.9060	18.8048
226.0584	18.8131
226.2108	18.8131
226.3632	18.8158
226.5156	18.8214
226.6680	18.8103
226.8204	18.8210
226.9728	18.7853
227.1252	19.0570
227.2776	19.0931
227.4300	18.8436
227.5824	18.8214
227.7348	18.8186
227.8872	18.8131
228.0396	18.8131
228.1920	18.8178
228.3444	18.8131
228.4968	18.7964
228.6492	18.8630
228.8016	18.8186
228.9540	18.7160
229.1064	18.8103
229.2588	18.8269
229.4112	18.8214
229.5636	18.7798
229.7160	18.7853
229.8684	18.8131
230.0208	18.8115
230.1732	18.8186
230.3256	18.8103
230.4780	18.8048
230.6304	18.8075
230.7828	18.8131
230.9352	18.8214
231.0876	18.8242
231.2400	18.8103
231.3924	18.7992
231.5448	18.8048
231.6972	18.7992
231.8496	18.8131
232.0020	18.8103
232.1544	18.8048
232.3068	18.7992
