HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0886
BOTTOM:	486.3970
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
18.5290	1.208792	-1.123168	-0.538676	1.014564	24.3605	308.5849	66.9638	118.3794	-0.0493	-0.1128	9.9455	0.2488
18.6814	1.204156	-1.122380	0.722465	0.970958	27.6652	318.0948	66.9850	108.8909	-0.0461	-0.1171	9.8340	0.2856
18.8338	1.202366	-1.122137	1.185707	0.931332	29.4275	321.9805	66.9630	104.9831	-0.0433	-0.1135	9.8004	0.3189
18.9862	1.202373	-1.122151	1.185716	0.886441	31.1165	319.9299	72.0249	112.0952	-0.0359	-0.1114	9.9028	0.3396
19.1386	1.198954	-1.122131	1.094955	0.879060	31.7525	335.7678	93.8868	118.1194	-0.0334	-0.1130	10.0019	0.3501
19.2910	-0.213705	-0.521355	-0.190092	0.906726	32.8604	73.8583	186.4344	112.5758	-0.0294	-0.1159	10.0086	0.3605
19.4434	0.220143	0.065111	1.104313	0.965415	35.2840	215.6639	320.9034	105.2388	-0.0276	-0.1178	9.9077	0.3694
19.5958	-0.231117	0.353862	1.183479	0.994679	36.3598	186.2833	288.3612	102.0786	-0.0250	-0.1187	9.8612	0.3635
19.7482	0.129693	0.167857	1.183814	0.961106	38.8696	219.8462	321.3105	101.4643	-0.0233	-0.1169	9.8821	0.3592
19.9006	0.057827	0.201739	1.183754	0.859479	38.9157	191.7740	293.9521	102.1781	-0.0181	-0.1152	9.9039	0.3510
20.0530	-0.038399	0.367661	1.183503	0.714282	35.0047	137.6990	237.6786	99.9797	-0.0165	-0.1145	9.8958	0.3268
20.2054	-0.085093	0.298720	1.183648	0.563428	28.7410	20.9931	111.1644	90.1711	-0.0127	-0.1191	9.8460	0.2736
20.3578	0.141442	-0.570386	1.184601	0.426137	18.1093	336.4928	55.5993	79.1066	-0.0097	-0.1159	9.8483	0.2198
20.5102	0.454965	-0.207891	-0.880629	0.342609	5.0890	306.9756	9.5370	62.5616	-0.0048	-0.1150	9.9297	0.1959
20.6626	0.558529	0.372015	0.865311	0.340006	-8.1425	298.7758	346.4824	47.7068	-0.0006	-0.1146	9.9796	0.1946
20.8150	0.520829	0.371863	-0.358521	0.379281	-29.2734	308.7343	351.7470	43.0130	0.0019	-0.1165	9.9877	0.1951
20.9674	0.278449	0.187029	-0.772529	0.455043	-45.3806	341.3112	24.7474	43.4366	0.0023	-0.1132	9.8798	0.1992
21.1198	0.245878	-0.109027	-1.026407	0.558011	-55.9493	18.1708	56.2413	38.0708	0.0020	-0.1136	9.8647	0.1922
21.2722	0.280025	-0.214130	-1.149723	0.675944	-62.7162	86.3463	120.0199	33.6739	0.0043	-0.1139	9.9072	0.1812
21.4246	-0.011738	0.043533	-1.169924	0.795328	-68.3259	192.2102	223.0190	30.8092	0.0044	-0.1130	9.9330	0.1911
21.5770	-0.114034	-0.016337	-1.169824	0.924058	-71.7993	163.7346	189.6264	25.8922	0.0099	-0.1151	9.8987	0.2442
21.7294	-0.191016	-0.056719	-1.169895	1.030708	-75.1175	185.3600	200.5141	15.1537	0.0105	-0.1119	9.8761	0.2945
21.8818	-0.249816	-0.001388	-1.170008	1.063879	-77.1740	231.0553	234.6434	3.5870	0.0138	-0.1094	9.9129	0.3224
22.0342	-0.067876	0.114179	-1.170028	1.126035	-79.6496	281.3811	274.2909	352.9098	0.0205	-0.1098	9.9249	0.3443
22.1866	-0.046801	0.173033	-1.170062	1.157841	-81.1674	286.7407	272.3514	345.6108	0.0206	-0.1091	9.9114	0.3807
22.3390	-0.026962	0.074205	-1.169932	1.174568	-81.6829	282.9005	265.7877	342.8872	0.0226	-0.1098	9.8583	0.4393
22.4914	-0.143819	0.160151	-1.170115	1.182081	-82.0650	262.6624	245.6760	343.0155	0.0226	-0.1099	9.8787	0.5088
22.6438	-0.130303	0.105554	-1.170040	1.182095	-82.2269	266.1351	249.6536	343.5204	0.0243	-0.1079	9.8870	0.5585
22.7962	-0.137239	0.201415	-1.170162	1.182689	-82.0367	270.8490	255.3352	344.4873	0.0228	-0.1089	9.9299	0.5617
22.9486	-0.131000	0.148212	-1.170052	1.182894	-81.9855	256.4528	241.8348	345.3814	0.0258	-0.1075	9.9685	0.5690
23.1010	-0.076826	0.088511	-1.169996	1.182055	-82.2657	233.5619	220.0962	346.5345	0.0265	-0.1075	9.9793	0.5686
23.2534	-0.185354	-0.002649	-1.169938	1.181194	-82.5731	225.3899	214.4155	349.0255	0.0298	-0.1072	9.9063	0.5603
23.4058	-0.120401	0.020353	-1.169934	1.181421	-82.4895	238.8316	229.4459	350.6151	0.0336	-0.1030	9.8491	0.5462
23.5582	-0.126914	0.092711	-1.170004	1.181288	-82.5320	258.7375	249.7670	351.0297	0.0368	-0.1022	9.8274	0.5373
23.7106	-0.086799	0.142167	-1.170004	1.180872	-82.6681	267.5565	256.2686	348.7102	0.0394	-0.1014	9.8925	0.5307
23.8630	-0.116691	0.159936	-1.170043	1.180634	-82.7155	260.0366	245.2849	345.2452	0.0408	-0.0990	9.9463	0.5074
24.0154	-0.121560	0.135461	-1.170044	1.180617	-82.6667	240.7785	221.2718	340.4897	0.0415	-0.0989	9.9182	0.4735
24.1678	-0.134993	-0.006731	-1.169932	1.179990	-82.8277	211.3066	185.7319	334.4243	0.0422	-0.0973	9.8863	0.4403
24.3202	-0.171193	-0.054572	-1.169894	1.179306	-83.0253	236.1257	205.6405	329.5130	0.0443	-0.0960	9.8848	0.4014
24.4726	-0.081675	-0.005702	-1.169936	1.179110	-83.0463	302.8047	270.8984	328.0889	0.0434	-0.0950	9.9388	0.3354
24.6250	0.004902	0.170528	-1.170023	1.178734	-83.1465	320.6275	289.7675	329.1348	0.0442	-0.0950	9.9610	0.2676
24.7774	0.001364	0.175522	-1.170029	1.178539	-83.1954	298.7809	271.1084	332.3226	0.0461	-0.0939	9.9036	0.2056
24.9298	-0.048209	0.071863	-1.169971	1.178452	-83.1992	242.0067	217.6385	335.6394	0.0468	-0.0913	9.8771	0.1560
25.0822	-0.099626	-0.027627	-1.169870	1.178336	-83.2303	179.7644	161.6321	341.8790	0.0508	-0.0906	9.8945	0.1231
25.2346	-0.119856	-0.191477	-1.169750	1.178292	-83.2366	142.7617	137.5615	354.8066	0.0525	-0.0883	9.9313	0.0966
25.3870	-0.071238	-0.153133	-1.169757	1.177890	-83.3970	106.3911	128.5720	22.1746	0.0551	-0.0837	9.9165	0.0834
25.5394	-0.031403	-0.113285	-1.169742	1.177622	-83.4941	159.3850	104.7659	63.4821	0.0592	-0.0834	9.8941	0.0913
