HOLE:	U1351B
EXPEDITION:	317
TOP:	87.5656
BOTTOM:	1011.8716
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
126.1228	39.4525	0.2239	34.0396	544.0000	2720.5000
126.2752	40.9374	0.1875	33.2440	524.0000	2626.0000
126.4276	44.6640	-0.0275	33.8437	521.1429	2637.0000
126.5800	44.8997	0.0498	33.7407	533.5000	2657.5000
126.7324	45.6254	0.1029	34.0488	515.0000	2704.5715
126.8848	45.2018	0.1540	32.4962	548.0000	2664.5000
127.0372	43.6056	0.3046	31.9611	522.0000	2797.0000
127.1896	45.1170	0.3935	28.8643	535.0000	2645.0000
127.3420	45.6942	0.4698	28.9934	513.1429	2694.0000
127.4944	47.0496	0.6368	28.1839	509.5000	2638.0000
127.6468	51.2548	0.6166	29.3084	513.0000	2524.0000
127.7992	51.5966	0.7076	30.5446	465.0000	2597.1428
127.9516	52.1956	1.0851	32.7151	497.0000	2597.0000
128.1040	49.5318	1.1263	32.9822	508.5000	2564.0000
128.2564	50.3672	0.9408	33.2825	470.0000	2614.5000
128.4088	50.8481	0.8685	32.6360	460.0000	2503.5000
128.5612	56.2537	0.4597	32.7220	472.0000	2552.5000
128.7136	55.4589	0.1684	32.8290	492.5000	2660.0000
128.8660	53.6846	0.1700	32.0358	495.5000	2622.8572
129.0184	50.3144	0.3203	31.7615	503.0000	2650.0000
129.1708	47.6085	0.4046	31.6700	508.5000	2619.0000
129.3232	48.6801	0.4067	31.2523	523.4286	2596.0000
129.4756	45.8016	0.6328	30.2400	503.0000	2599.0000
129.6280	45.2900	0.7745	29.8362	496.0000	2654.8572
129.7804	48.0463	0.8235	28.5633	496.5000	2630.5000
129.9328	53.6475	0.5913	29.2549	479.5000	2619.0000
130.0852	48.4271	0.7828	30.0904	471.0000	2697.0000
130.2376	49.7087	0.6959	30.1127	481.1429	2659.0000
130.3900	52.2311	0.4310	31.0099	502.0000	2574.0000
130.5424	56.0819	0.2497	32.2945	473.5000	2596.5000
130.6948	54.3391	0.6359	31.6620	506.0000	2541.0000
130.8472	53.5775	0.5518	31.4385	503.5000	2613.7144
130.9996	48.9489	0.7660	30.7214	477.5000	2610.0000
131.1520	52.6382	0.6541	30.9676	480.0000	2611.5000
131.3044	51.7045	0.8300	30.0817	506.2857	2635.5000
131.4568	57.7231	0.4681	29.8055	494.5000	2539.4285
131.6092	56.8495	0.6714	29.3466	488.5000	2591.5000
131.7616	55.9489	0.5293	30.4200	484.0000	2588.0000
131.9140	52.1569	0.9040	29.6503	506.5000	2544.5000
132.0664	51.9823	0.8976	28.7631	480.0000	2608.5000
132.2188	54.9823	0.8038	30.7021	483.5000	2533.0000
132.3712	52.7366	1.0769	29.1892	493.0000	2631.5000
