HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	671.2368
DEPTH_WMSF	LCAL
m	in
422.0628	10.13035
422.2152	10.13156
422.3676	10.12417
422.5200	10.12238
422.6724	10.14311
422.8248	10.1297
422.9772	10.12299
423.1296	10.12238
423.2820	10.12238
423.4344	10.12955
423.5868	10.12339
423.7392	10.13693
423.8916	10.13153
424.0440	10.13431
424.1964	10.13845
424.3488	10.12389
424.5012	10.13368
424.6536	10.13474
424.8060	10.1271
424.9584	10.12746
425.1108	10.12269
425.2632	10.14187
425.4156	10.12336
425.5680	10.12238
425.7204	10.12238
425.8728	10.12238
426.0252	10.13446
426.1776	10.12257
426.3300	10.12238
426.4824	10.12238
426.6348	10.12243
426.7872	10.13875
426.9396	10.12643
427.0920	10.12238
427.2444	10.12238
427.3968	10.12295
427.5492	10.13834
427.7016	10.12679
427.8540	10.13257
428.0064	10.13013
428.1588	10.12374
428.3112	10.14178
428.4636	10.12658
428.6160	10.12709
428.7684	10.12238
428.9208	10.1248
429.0732	10.14506
429.2256	10.12741
429.3780	10.12602
429.5304	10.12289
429.6828	10.12809
429.8352	10.13662
429.9876	10.12238
430.1400	10.12238
430.2924	10.12238
430.4448	10.12487
430.5972	10.13182
430.7496	10.10249
430.9020	10.10812
431.0544	10.1152
431.2068	10.10574
431.3592	10.11992
431.5116	10.11086
431.6640	10.11675
431.8164	10.12111
431.9688	10.1064
432.1212	10.11953
432.2736	10.11002
432.4260	10.10801
432.5784	10.10307
432.7308	10.10772
432.8832	10.10894
433.0356	10.107
433.1880	10.11002
433.3404	10.10915
433.4928	10.11018
433.6452	10.11463
433.7976	10.1059
433.9500	10.10463
434.1024	10.10178
434.2548	10.10967
434.4072	10.12113
434.5596	10.11002
434.7120	10.11246
434.8644	10.11334
435.0168	10.11167
435.1692	10.12532
435.3216	10.1351
435.4740	10.14488
435.6264	10.14619
435.7788	10.14455
435.9312	10.1519
436.0836	10.18343
436.2360	10.24048
436.3884	10.26733
436.5408	10.2693
436.6932	10.27374
436.8456	10.26658
436.9980	10.26836
437.1504	10.26889
437.3028	10.27391
437.4552	10.27562
437.6076	10.26658
437.7600	10.26275
437.9124	10.24864
438.0648	10.22792
438.2172	10.21315
438.3696	10.21193
438.5220	10.2161
438.6744	10.213
438.8268	10.21517
438.9792	10.21543
439.1316	10.21369
439.2840	10.21714
439.4364	10.21714
439.5888	10.21714
439.7412	10.21038
439.8936	10.21161
440.0460	10.21484
440.1984	10.20836
440.3508	10.21657
440.5032	10.21644
440.6556	10.21414
440.8080	10.222
440.9604	10.218
441.1128	10.22048
441.2652	10.21282
441.4176	10.20985
441.5700	10.21302
441.7224	10.21043
441.8748	10.21936
442.0272	10.21217
442.1796	10.21279
442.3320	10.21444
442.4844	10.21098
442.6368	10.2257
442.7892	10.21423
442.9416	10.21317
443.0940	10.21149
443.2464	10.20605
443.3988	10.2134
443.5512	10.20843
443.7036	10.20478
443.8560	10.20478
444.0084	10.20478
444.1608	10.21982
444.3132	10.21022
444.4656	10.21395
444.6180	10.21097
444.7704	10.20579
444.9228	10.20478
445.0752	10.20478
445.2276	10.20796
445.3800	10.20167
445.5324	10.16477
445.6848	10.16515
445.8372	10.15453
445.9896	10.18442
446.1420	10.24013
446.2944	10.24354
446.4468	10.24865
446.5992	10.24668
446.7516	10.25287
446.9040	10.25161
447.0564	10.24675
447.2088	10.2495
447.3612	10.2501
447.5136	10.24652
447.6660	10.24237
447.8184	10.24549
447.9708	10.24598
448.1232	10.23676
448.2756	10.23753
448.4280	10.2751
448.5804	10.29397
448.7328	10.31813
448.8852	10.34684
449.0376	10.34898
449.1900	10.35671
449.3424	10.35333
449.4948	10.36094
449.6472	10.34949
449.7996	10.36486
449.9520	10.36946
450.1044	10.3535
450.2568	10.37434
450.4092	10.35741
450.5616	10.34493
450.7140	10.34072
450.8664	10.32838
451.0188	10.32838
451.1712	10.32863
451.3236	10.34063
451.4760	10.33634
451.6284	10.32855
451.7808	10.33231
451.9332	10.32903
452.0856	10.34062
452.2380	10.33801
452.3904	10.32897
452.5428	10.33599
452.6952	10.32838
