HOLE:	U1508C
EXPEDITION:	371
TOP:	583.3574
BOTTOM:	690.3421
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
614.1422	123.6635	335.0663	327.0128	2.4648	0.9097	0.9321
614.2946	125.5939	335.2686	322.0197	2.4269	0.9091	0.9465
614.4470	129.8661	332.2047	326.4551	2.3470	0.9175	0.9337
614.5994	131.2389	332.6606	324.3354	2.3225	0.9162	0.9398
614.7518	132.157	344.7452	343.5142	2.3063	0.8841	0.8873
614.9042	134.2656	350.9726	352.5091	2.2701	0.8684	0.8647
615.0566	137.8652	349.1888	365.0783	2.2109	0.8729	0.8349
615.2090	134.2696	352.3648	365.7674	2.2701	0.8650	0.8333
615.3614	134.4256	359.5305	359.4258	2.2674	0.8478	0.8480
615.5138	133.9874	356.1232	354.7706	2.2748	0.8559	0.8591
615.6662	132.5929	375.6162	355.2438	2.2988	0.8115	0.8580
615.8186	130.9117	359.7749	352.9672	2.3283	0.8472	0.8635
615.9710	132.0543	359.1985	345.1212	2.3081	0.8486	0.8832
616.1234	132.2483	372.2852	345.0381	2.3048	0.8187	0.8834
616.2758	130.4664	361.0642	355.9041	2.3362	0.8442	0.8564
616.4282	131.1402	363.8022	344.0699	2.3242	0.8378	0.8859
616.5806	126.8687	318.0988	346.3549	2.4025	0.9582	0.8800
616.7330	123.5612	328.3496	335.0807	2.4668	0.9283	0.9096
616.8854	122.9505	340.147	338.1645	2.4790	0.8961	0.9013
617.0378	123.3686	341.2849	338.7845	2.4706	0.8931	0.8997
617.1902	122.6417	341.0906	338.6668	2.4853	0.8936	0.9000
617.3426	122.4374	340.5635	338.1021	2.4894	0.8950	0.9015
617.4950	124.5996	336.8022	338.1637	2.4462	0.9050	0.9013
617.6474	123.3366	334.3712	329.4368	2.4713	0.9116	0.9252
617.7998	119.5902	332.7815	306.6311	2.5487	0.9159	0.9940
617.9522	118.5096	321.8799	305.7194	2.5719	0.9469	0.9970
618.1046	121.9847	336.7298	305.8589	2.4987	0.9052	0.9965
618.2570	123.0401	339.7936	306.0292	2.4772	0.8970	0.9960
618.4094	122.3441	341.1102	306.813	2.4913	0.8936	0.9934
618.5618	127.4967	342.1077	307.056	2.3907	0.8909	0.9927
618.7142	128.3037	342.7986	308.5792	2.3756	0.8892	0.9878
618.8666	130.7084	362.0045	353.1389	2.3319	0.8420	0.8631
619.0190	132.4332	384.8256	362.7298	2.3015	0.7920	0.8403
619.1714	131.8192	392.0164	362.3583	2.3123	0.7775	0.8412
619.3238	132.2621	398.1941	362.187	2.3045	0.7655	0.8416
619.4762	132.6516	399.3338	362.569	2.2977	0.7633	0.8407
619.6286	130.7009	384.1162	362.0858	2.3320	0.7935	0.8418
619.7810	125.1441	374.5367	297.8964	2.4356	0.8138	1.0232
619.9334	118.8046	319.7313	276.5048	2.5656	0.9533	1.1023
620.0858	115.768	311.4313	276.3859	2.6329	0.9787	1.1028
620.2382	115.1734	302.6191	276.6772	2.6464	1.0072	1.1016
620.3906	115.2724	296.7425	277.017	2.6442	1.0272	1.1003
620.5430	117.6075	301.4092	280.2712	2.5917	1.0112	1.0875
620.6954	123.1304	284.9325	288.1557	2.4754	1.0697	1.0578
620.8478	125.3022	318.119	303.8956	2.4325	0.9581	1.0030
621.0002	128.5898	353.8967	338.3998	2.3703	0.8613	0.9007
621.1526	130.4259	356.7847	352.4003	2.3370	0.8543	0.8649
621.3050	130.7618	358.9559	347.5954	2.3310	0.8491	0.8769
621.4574	130.7993	360.8167	344.2599	2.3303	0.8448	0.8854
621.6098	129.8409	360.1507	342.2123	2.3475	0.8463	0.8907
621.7622	128.4156	361.0249	341.7065	2.3735	0.8443	0.8920
621.9146	128.0986	360.2351	342.0491	2.3794	0.8461	0.8911
622.0670	127.5727	359.2799	342.9073	2.3892	0.8484	0.8889
622.2194	129.0671	387.8616	353.6455	2.3616	0.7858	0.8619
622.3718	132.9998	404.7929	375.2964	2.2917	0.7530	0.8122
622.5242	134.3615	394.7202	384.8188	2.2685	0.7722	0.7921
622.6766	133.5897	401.6627	378.9418	2.2816	0.7588	0.8043
622.8290	133.4391	390.9374	363.4174	2.2842	0.7797	0.8387
622.9814	133.1177	383.2059	352.5254	2.2897	0.7954	0.8646
623.1338	132.836	387.8831	352.4214	2.2946	0.7858	0.8649
623.2862	132.7054	387.7719	354.0499	2.2968	0.7860	0.8609
623.4386	131.5424	383.7892	351.1048	2.3171	0.7942	0.8681
623.5910	128.0775	389.4274	351.8267	2.3798	0.7827	0.8663
623.7434	126.2124	366.2532	352.9809	2.4150	0.8322	0.8635
623.8958	126.2106	335.8717	343.7458	2.4150	0.9075	0.8867
624.0482	124.4722	335.8717	322.874	2.4487	0.9075	0.9440
624.2006	123.7776	333.3236	304.3539	2.4625	0.9144	1.0015
624.3530	122.761	334.1133	299.6059	2.4829	0.9123	1.0173
624.5054	123.6079	349.0607	308.6881	2.4659	0.8732	0.9874
624.6578	129.7663	361.6102	324.6489	2.3488	0.8429	0.9389
624.8102	132.1309	365.059	332.3848	2.3068	0.8349	0.9170
624.9626	130.5607	368.0271	333.5103	2.3345	0.8282	0.9139
625.1150	127.7398	366.985	333.369	2.3861	0.8306	0.9143
625.2674	123.858	367.685	333.2853	2.4609	0.8290	0.9145
625.4198	122.7523	368.4753	334.0203	2.4830	0.8272	0.9125
625.5722	121.4872	364.1602	334.1759	2.5089	0.8370	0.9121
625.7246	123.1958	360.6083	332.0352	2.4741	0.8452	0.9180
625.8770	126.3903	360.5365	330.6095	2.4116	0.8454	0.9219
626.0294	126.5035	357.9697	328.8705	2.4094	0.8515	0.9268
626.1818	125.1423	361.914	324.0689	2.4356	0.8422	0.9405
626.3342	125.5078	349.9677	318.0266	2.4285	0.8709	0.9584
626.4866	126.9836	345.3564	310.5228	2.4003	0.8826	0.9816
626.6390	127.0129	349.057	310.2961	2.3998	0.8732	0.9823
626.7914	128.0627	348.5948	310.2488	2.3801	0.8744	0.9824
626.9438	127.1484	348.6227	310.218	2.3972	0.8743	0.9825
627.0962	125.7145	346.851	310.2887	2.4245	0.8788	0.9823
627.2486	125.3943	337.6707	310.4637	2.4307	0.9027	0.9818
627.4010	125.5366	342.6779	310.2912	2.4280	0.8895	0.9823
627.5534	127.187	364.0463	311.955	2.3965	0.8373	0.9771
627.7058	130.5533	369.338	328.0125	2.3347	0.8253	0.9292
627.8582	131.6055	373.967	356.3303	2.3160	0.8150	0.8554
628.0106	132.5456	375.5641	373.2212	2.2996	0.8116	0.8167
628.1630	132.0313	380.4357	372.9097	2.3085	0.8012	0.8174
628.3154	134.5919	389.5531	369.4642	2.2646	0.7824	0.8250
628.4678	135.3453	387.3613	372.8666	2.2520	0.7869	0.8175
628.6202	132.8721	383.2083	365.2975	2.2939	0.7954	0.8344
628.7726	130.1895	375.2991	351.0468	2.3412	0.8122	0.8683
628.9250	129.6098	359.3173	346.6469	2.3517	0.8483	0.8793
629.0774	129.8014	362.5785	345.3594	2.3482	0.8406	0.8826
629.2298	129.352	370.0111	344.7327	2.3564	0.8238	0.8842
629.3822	128.6182	373.4228	344.021	2.3698	0.8162	0.8860
629.5346	127.5567	344.8398	339.2367	2.3895	0.8839	0.8985
629.6870	128.2589	313.0569	325.9545	2.3764	0.9736	0.9351
629.8394	128.5796	304.8359	321.7704	2.3705	0.9999	0.9473
629.9918	127.6335	302.0637	326.2025	2.3881	1.0091	0.9344
630.1442	128.3278	331.5355	326.4399	2.3752	0.9194	0.9337
630.2966	129.9011	341.9284	327.8491	2.3464	0.8914	0.9297
630.4490	131.7989	336.4143	330.348	2.3126	0.9060	0.9227
630.6014	132.8235	341.759	330.8406	2.2948	0.8919	0.9213
630.7538	132.9114	346.9966	345.5213	2.2933	0.8784	0.8821
630.9062	132.4553	351.7412	365.5721	2.3012	0.8665	0.8338
631.0586	132.3081	352.9506	389.1266	2.3037	0.8636	0.7833
